Category,Overallrating,NumberReviews,PriceRange,Name
Italian,4,172,$$,Vixi
Japanese Curry,4,1052,$,Volcano
Wine Bars,4,1296,$$,Amélie
Chinese,4,339,$$,Dong Bei Mama
Thai,4,150,$$,One Waan
Burmese,4,1769,$$,B Star Bar
Chinese,3.5,831,$$,China Live
Mexican,3.5,365,$$$,Cala
Korean,4,185,$$,Hwaro
Seafood,4,1799,$$$,Bar Crudo
Indian,4.5,363,$$,Keeva Indian Kitchen
Middle Eastern,4,993,$$,Old Jerusalem Restaurant
Burgers,4,1211,$,Super Duper Burgers
Hot Pot,4.5,154,$$,Nabe
American (New),4,428,$$$$,Saison
American (New),3.5,1299,$$$,Sutro’s at The Cliff House
Cambodian,4,501,$$,Angkor Borei
Mexican,3.5,287,$$,Cadillac Bar & Grill
Italian,4.5,660,$$$,Albona Ristorante Istriano
American (New),4,526,$$,Aliment
Gluten-Free,4.5,225,$$,Kitava
Cocktail Bars,4.5,170,$$,Louie’s Gen-Gen Room
Wraps,4.5,67,$$$,Dabba
Cocktail Bars,4.5,47,$$,Fifth Arrow
Italian,4,1328,$$,Piccino
Mediterranean,4.5,157,$$,Lokma
Seafood,3.5,814,$$,Mission Rock Resort
Mediterranean,4,804,$,Palmyra
French,4,837,$$$,Monsieur Benjamin
Thai,4,1375,$$,Blackwood
Italian,4,1203,$$,Nob Hill Cafe
Italian,4.5,335,$$,Roma Antica
Steakhouses,4,654,$$,Brazen Head
Italian,4,466,$$,Fior d’Italia
Pizza,4.5,437,$$,Piccolo Forno
American (New),4,951,$$$,The Cavalier
Indian,4.5,278,$$,Tara Indian Cuisine
Teppanyaki,4,310,$$,Super Pan
Desserts,4.5,136,$$,The Game Parlour
Thai,4,323,$$,Rooster & Rice
Spanish,3.5,1851,$$,Thirsty Bear Brewing Company
Japanese Curry,4,1631,$$,Muracci’s Japanese Curry & Grill
Ramen,5,20,$$,Noodle in a Haystack
American (New),4,665,$$$,1760
Vietnamese,3.5,5410,$$$,The Slanted Door
Afghan,4.5,771,$$,Helmand Palace
Ramen,4,550,$$,Orenchi Beyond
Izakaya,4.5,11,$$$,Izakaya Sushi Ran
Italian,4,1941,$$$,Perbacco
Belgian,4,817,$$,La Trappe
American (New),4,1693,$$,Straw
Thai,4.5,140,$$,Nute’s
Japanese,4,982,$$,Sakesan Sushi & Bistro
Italian,4,388,$$,Tratto
Wine Bars,4.5,654,$$$,The Richmond
Ramen,4,383,$$,Slurp Ramen
Moroccan,4,458,$$,Aicha Moroccan Cuisine
Sushi Bars,4.5,330,$$$,Tsubasa Sushi
Chicken Shop,4.5,400,$$,Rooster & Rice
Bars,4.5,175,$$,PianoFight
American (New),4,632,$$$$,Sons & Daughters
Burmese,4.5,25,$$,Beyond Burma
American (New),4,920,$$,Chambers
Breweries,3.5,772,$$,Bartlett Hall
Beer Bar,4,218,$$,Almanac Taproom
Latin American,4,196,$$,Alma Cocina
French,4.5,1422,$$$$,La Folie
Korean,4.5,1065,$$,Surisan
Mexican,4,461,$$,Matador
French,4,1049,$$$,Fringale
Middle Eastern,4.5,367,$$,Jannah
Latin American,4,621,$$$,Piqueo’s
American (New),4,262,$$$,Maybeck’s
American (New),4,653,$$$,AL’s Place
Breakfast & Brunch,5,2,$,Morning Wood
Japanese,4,270,$$,Shabu House
American (New),4,248,$$$,The Saratoga
Korean,3,1269,$$,Yakiniq
Wine Bars,4,290,$$,Blush!
Thai,4,380,$$,Tamarind Hall
Indian,3.5,82,$$,Besharam
Mediterranean,4,49,$$,Sultan’s Kebab
Themed Cafes,4.5,532,$$,KitTea Cat Cafe
Italian,4,559,$$,La Traviata
Wine Bars,3.5,407,$$,Belga
Japanese,4,224,$$,Camp BBQ
Mexican,4,219,$,Tacos Club
Pubs,4.5,290,$$,The Dark Horse Inn
Mediterranean,4.5,136,$$,Tuba Express Mediterranean Kebab & Gyro
Thai,4,518,$$,Basil Canteen
Gastropubs,4,699,$$,The Sycamore
Thai,4,607,$,Zen Yai Thai Restaurant
Greek,4,261,$$,Souvla
Sports Bars,4,409,$,The Boardroom
American (New),4,616,$$,Street Restaurant and Bar
Senegalese,3.5,891,$$,Bissap Baobab
Italian,4.5,42,$$$,AltoVino
Italian,4,626,$$,Trattoria da Vittorio
Seafood,4,1591,$$,Woodhouse Fish
Hong Kong Style Cafe,3.5,59,$$,Venus Cafe
Japanese,3.5,617,$$,Udon Mugizo
Thai,4,772,$,Thai Time Restaurant
Japanese,4.5,123,$$,Hot Zushi
Italian,4,933,$$,Firenze by Night Ristorante
Burgers,4,2589,$$,Super Duper Burgers
Sushi Bars,4.5,774,$$$,Saru Sushi Bar
American (New),3.5,1087,$$,Presidio Social Club
Conveyor Belt Sushi,4,556,$$,Warakubune Sushi
Thai,4,46,$$,Bussaba
Asian Fusion,4,424,$$,pomelo on Judah
Mexican,4,688,$$,Tacko
Japanese,4.5,87,$$$$,Hashiri
Thai,4.5,109,$$,Derm Restaurant
Asian Fusion,4,658,$$,Champa Garden
Burgers,4,452,$$,WesBurger ‘N’ More
American (New),4,114,$$$,Gibson
Sushi Bars,4,386,$$,Ginza Sushi & Sake
American (New),4,396,$$,Whitechapel SF
Bars,4.5,67,$$,Hotel San Francisco
Sushi Bars,4,705,$$,Elephant Sushi
American (Traditional),4.5,28,$,Counter Offer
Breakfast & Brunch,4,3989,$$,Mama’s On Washington Square
Italian,4,1071,$$,Fino Ristorante & Bar
Japanese,4,483,$$,Kufuya Japanese Restaurant
Malaysian,4,286,$$,Lime Tree Southeast Asian Kitchen
Barbeque,3.5,1399,$$,4505 Burgers & BBQ
Cafes,4.5,23,$,Manny’s
