Category,Overallrating,Name,Delivery,NumberReviews,PriceRange
Mexican,4.5,Garaje,No,1426,$$
French,4,Isa Restaurant,Yes,1949,$$$
Bars,4.5,Coin-Op Game Room,No,434,$$
Korean,4.5,Saucy Asian,No,229,$$
Comfort Food,4,MAC’D,Yes,80,$$
Italian,4,Zuni Café,No,2614,$$$
Italian,4.5,Caffe Macaroni,No,514,$$
Himalayan/Nepalese,4.5,Dancing Yak,Yes,191,$$
French,4.5,La Folie,No,1422,$$$$
Japanese,4,Takoba SF,Yes,455,$$
Chinese,4,Sam Wo Restaurant,Yes,879,$
Dim Sum,4,Dumpling Time,No,1117,$$
Seafood,3.5,Waterbar,No,2810,$$$
Burgers,4.5,Native Burger,No,161,$$
Wine Bars,4,District San Francisco,No,1107,$$
Seafood,4,Swan Oyster Depot,No,2558,$$
Czech,4.5,Paprika,N/A,364,$$
Noodles,4,Chong Qing Xiao Mian,No,563,$$
American (Traditional),4,Mac Daddy,Yes,448,$$
American (New),4.5,Lazy Bear,No,510,$$$$
Mexican,4,Nopalito,No,1765,$$
Caribbean,4,Cha Cha Cha,No,3121,$$
Mediterranean,4.5,Lokma,Yes,158,$$
Asian Fusion,4,AsiaSF,No,1743,$$$
Italian,4,Lupa Trattoria,No,606,$$
Breakfast & Brunch,4,Mama’s On Washington Square,No,3991,$$
Mediterranean,4.5,Souvla,Yes,359,$$
American (New),4,Rich Table,No,1069,$$$
Peruvian,3.5,Fresca,No,911,$$
Indian,4,Om Indian Cuisine,Yes,251,$$
Italian,4,Fior d’Italia,No,466,$$
Bars,4,The Alembic,No,1655,$$
Italian,4,Tommaso’s,No,1520,$$
Thai,4,Lers Ros,Yes,2096,$$
Korean,4,Um Ma Son,No,364,$$
Japanese Curry,4,Volcano,No,1052,$
Cocktail Bars,4,Violet’s,No,87,$$
Sushi Bars,4.5,Tsubasa Sushi,No,330,$$$
American (New),4,Park Tavern,No,1487,$$$
Italian,4.5,InoVino,No,124,$$
Sushi Bars,4,Tamashisoul Sushi Bar,No,342,$$
American (New),4,Octavia,No,462,$$$
Hot Pot,4,Nabe,No,485,$$
French,4,Fringale,No,1050,$$$
Mediterranean,4.5,Sababa,No,280,$$
Burgers,4,Super Duper Burgers,No,2592,$$
Italian,4,Bacco,No,435,$$$
Mexican,4,Tacorgasmico,Yes,212,$$
Diners,4,Breakfast at Tiffany’s,Yes,777,$$
American (New),4,Hillside Supper Club,No,344,$$
Steakhouses,3.5,EPIC Steak,No,2087,$$$
Izakaya,4.5,Izakaya Sushi Ran,No,13,$$$
Peruvian,4,Mochica,Yes,387,$$
Japanese,4,Shabu House,No,270,$$
Gluten-Free,4.5,Kitava,Yes,229,$$
Middle Eastern,4,Maykadeh,Yes,758,$$
Thai,4,Sweet Lime Thai Cuisine,Yes,441,$$
Seafood,4,Bar Crudo,No,1799,$$$
Cocktail Bars,4,True Laurel,No,128,$$
Vietnamese,3.5,OTD,No,656,$$
Ethiopian,4.5,Tadu Ethiopian Kitchen,Yes,593,$$
Mexican,3.5,Cala,No,366,$$$
Japanese,4,Pabu,No,811,$$$
Steakhouses,4,Ruth’s Chris Steak House,No,1976,$$$
Italian,4,PRAIRIE,No,55,$$$
American (New),4.5,The Morris,No,195,$$$
Seafood,3.5,Bistro At The Cliff House,No,1375,$$
Gastropubs,4,Upcider,No,564,$$
Thai,4,House of Thai,Yes,1248,$$
Greek,4,Orexi,No,330,$$
American (Traditional),4,Stuffed,No,217,$$
American (New),4.5,Eight AM,No,1026,$$
Latin American,3.5,Fresca,No,243,$$
Seafood,4,Alamo Square Seafood Grill,No,612,$$
Gastropubs,4.5,Fermentation Lab,No,186,$$
Breakfast & Brunch,4,Universal Cafe,No,1302,$$
American (New),3.5,Outerlands,No,2149,$$
Hot Pot,4,My Pot,No,91,$$
American (New),3.5,Sessions at the Presidio,No,428,$$
Pubs,4,The Pig & Whistle,No,443,$$
Mediterranean,4,Van Ness Cafe & Gyros,Yes,54,$$
Wraps,4.5,Dabba,Yes,67,$$$
Sushi Bars,4.5,Elephant Sushi,No,232,$$
Hot Pot,4,Fiery Hot Pot Buffet,No,250,$$
Thai,4,Rooster & Rice,Yes,323,$$
Seafood,5,Ichido,No,102,$$$
Afghan,4.5,De Afghanan Kabob House,Yes,497,$$
Scandinavian,4,Pläj Scandinavian Restaurant & Bar,No,626,$$$
Bars,4.5,Hotel San Francisco,No,67,$$
Seafood,3,Waterfront Restaurant,Yes,1086,$$$
Tea Rooms,5,Elixart Herbal Lounge,N/A,6,$
Venues & Event Spaces,3.5,Sens Restaurant,No,886,$$
Chinese,4,Dong Bei Mama,No,339,$$
Seafood,4,Pacific Catch,Yes,1530,$$
Ramen,5,Noodle in a Haystack,No,20,$$
Mediterranean,4,NoVY Restaurant,Yes,357,$$
Middle Eastern,5,Saha,No,6,$$
Szechuan,3.5,Chili House SF,Yes,514,$$
Himalayan/Nepalese,4,Little Nepal,Yes,432,$$
Dim Sum,4,Begoni Bistro,No,501,$$
Breweries,3.5,Social Kitchen & Brewery,No,907,$$
Italian,4,Mescolanza,Yes,127,$$
Chinese,3.5,M Y China,Yes,1495,$$
Cocktail Bars,4,Trick Dog,No,735,$$
Pizza,4,Del Popolo,No,349,$$
Russian,4,Red Tavern,No,288,$$
Vietnamese,4.5,DragonEats,No,154,$
Sushi Bars,4.5,Yakumi Freestyle Omakase,No,7,$$$$
American (New),3.5,Hard Water,No,574,$$
Dive Bars,3.5,The Ramp,No,1036,$$
Italian,3.5,Americano,No,1017,$$
Italian,4,Uva Enoteca,No,893,$$
Bowling,4,Mission Bowling Club,No,578,$$
Steakhouses,3.5,Osso Steakhouse,No,673,$$$$
Italian,4,Tratto,No,391,$$
Breakfast & Brunch,4,Plow,No,2341,$$
American (New),4,The Cavalier,No,950,$$$
Mexican,4,The Little Chihuahua,No,1411,$$
American (New),4,Nico,No,248,$$$
Bakeries,4,Good Mong Kok Bakery,No,2248,$
French,4.5,Bistro Central Parc,No,907,$$$
